Data,Hora,Timestamp_Sistema,Temp_Centro_C,Temp_Max_C,,
2026-04-07,11:10:34,20260407_111034,25,85,38,85
2026-04-07,11:10:38,20260407_111038,23,79,37,16
2026-04-07,11:10:43,20260407_111043,22,79,36,60
2026-04-07,11:10:48,20260407_111048,22,16,36,98
2026-04-07,11:10:53,20260407_111053,21,60,36,29
2026-04-07,11:10:58,20260407_111058,21,4,35,48
2026-04-07,11:11:03,20260407_111103,26,10,39,48
2026-04-07,11:11:08,20260407_111108,25,66,39,41
2026-04-07,11:11:13,20260407_111113,25,16,39,10
2026-04-07,11:11:18,20260407_111118,24,79,38,60
2026-04-07,11:11:23,20260407_111123,24,35,38,10
2026-04-07,11:11:28,20260407_111128,24,4,37,60
2026-04-07,11:11:33,20260407_111133,23,60,36,98
2026-04-07,11:11:38,20260407_111138,23,41,36,60
2026-04-07,11:11:43,20260407_111143,23,4,36,60
2026-04-07,11:11:48,20260407_111148,22,85,36,41
2026-04-07,11:11:53,20260407_111153,24,54,38,4
2026-04-07,11:11:58,20260407_111158,24,23,37,73
2026-04-07,11:12:03,20260407_111203,23,98,37,54
2026-04-07,11:12:08,20260407_111208,23,79,37,23
2026-04-07,11:12:13,20260407_111213,23,48,37,4
2026-04-07,11:12:18,20260407_111218,23,23,36,66
2026-04-07,11:12:23,20260407_111223,23,4,36,48
2026-04-07,11:12:28,20260407_111228,22,91,36,35
2026-04-07,11:12:33,20260407_111233,22,60,35,98
2026-04-07,11:12:38,20260407_111238,22,41,35,91
2026-04-07,11:12:43,20260407_111243,22,23,35,79
2026-04-07,11:12:48,20260407_111248,22,10,35,73
2026-04-07,11:12:53,20260407_111253,23,10,36,60
2026-04-07,11:12:58,20260407_111258,22,91,36,41
2026-04-07,11:13:03,20260407_111303,22,73,36,29
2026-04-07,11:13:08,20260407_111308,22,54,36,10
2026-04-07,11:13:13,20260407_111313,22,41,35,91
2026-04-07,11:13:18,20260407_111318,22,23,35,73
2026-04-07,11:13:23,20260407_111323,22,16,35,54
2026-04-07,11:13:28,20260407_111328,22,10,35,48
2026-04-07,11:13:33,20260407_111333,21,91,35,48
2026-04-07,11:13:38,20260407_111338,21,79,35,41
2026-04-07,11:13:43,20260407_111343,21,66,35,35
2026-04-07,11:13:48,20260407_111348,21,54,35,16
2026-04-07,11:13:53,20260407_111353,21,48,35,4
2026-04-07,11:13:58,20260407_111358,21,35,35,10
2026-04-07,11:14:03,20260407_111403,21,23,35,23
2026-04-07,11:14:08,20260407_111408,21,16,35,35
2026-04-07,11:14:13,20260407_111413,21,66,36,4
2026-04-07,11:14:18,20260407_111418,21,60,36,10
2026-04-07,11:14:23,20260407_111423,21,54,36,16
2026-04-07,11:14:28,20260407_111428,21,48,36,4
2026-04-07,11:14:33,20260407_111433,21,35,35,98
2026-04-07,11:14:38,20260407_111438,21,23,35,98
2026-04-07,11:14:43,20260407_111443,21,23,35,79
2026-04-07,11:14:48,20260407_111448,21,10,35,73
2026-04-07,11:14:53,20260407_111453,20,98,35,60
2026-04-07,11:14:58,20260407_111458,20,98,35,48
2026-04-07,11:15:03,20260407_111503,20,85,35,35
2026-04-07,11:15:08,20260407_111508,20,91,35,29
2026-04-07,11:15:13,20260407_111513,20,79,34,98
2026-04-07,11:15:18,20260407_111518,20,73,34,91
2026-04-07,11:15:23,20260407_111523,20,66,34,73
2026-04-07,11:15:28,20260407_111528,20,60,34,66
2026-04-07,11:15:33,20260407_111533,20,48,34,41
2026-04-07,11:15:38,20260407_111538,20,48,34,29
2026-04-07,11:15:43,20260407_111543,20,54,34,35
2026-04-07,11:15:48,20260407_111548,20,60,34,23
2026-04-07,11:15:53,20260407_111553,20,48,34,16
2026-04-07,11:15:58,20260407_111558,20,41,34,23
2026-04-07,11:16:03,20260407_111603,20,35,34,23
2026-04-07,11:16:08,20260407_111608,20,35,34,23
2026-04-07,11:16:13,20260407_111613,20,35,34,29
2026-04-07,11:16:18,20260407_111618,20,29,34,35
2026-04-07,11:16:23,20260407_111623,20,23,34,35
2026-04-07,11:16:28,20260407_111628,20,16,34,48
2026-04-07,11:16:33,20260407_111633,20,4,34,48
2026-04-07,11:16:38,20260407_111638,19,98,34,54
2026-04-07,11:16:43,20260407_111643,20,4,34,54
2026-04-07,11:16:48,20260407_111648,19,98,34,66
2026-04-07,11:16:53,20260407_111653,19,91,34,73
2026-04-07,11:16:58,20260407_111658,19,91,34,79
2026-04-07,11:17:03,20260407_111703,19,91,34,79
2026-04-07,11:17:08,20260407_111708,19,85,34,66
2026-04-07,11:17:13,20260407_111713,19,79,34,66
2026-04-07,11:17:18,20260407_111718,19,54,34,48
2026-04-07,11:17:23,20260407_111723,19,48,34,48
2026-04-07,11:17:28,20260407_111728,19,48,34,41
2026-04-07,11:17:33,20260407_111733,19,41,34,48
2026-04-07,11:17:38,20260407_111738,19,41,34,41
2026-04-07,11:17:43,20260407_111743,19,41,34,48
2026-04-07,11:17:48,20260407_111748,19,35,34,48
2026-04-07,11:17:53,20260407_111753,19,35,34,41
2026-04-07,11:17:58,20260407_111758,19,35,34,35
2026-04-07,11:18:03,20260407_111803,19,35,34,35
2026-04-07,11:18:08,20260407_111808,19,29,34,29
2026-04-07,11:18:13,20260407_111813,19,29,34,29
2026-04-07,11:18:18,20260407_111818,19,16,34,23
2026-04-07,11:18:23,20260407_111823,19,23,34,29
2026-04-07,11:18:28,20260407_111828,19,29,34,35
2026-04-07,11:18:33,20260407_111833,19,23,34,29
2026-04-07,11:18:38,20260407_111838,19,16,34,29
2026-04-07,11:18:43,20260407_111843,19,16,34,29
2026-04-07,11:18:48,20260407_111848,18,98,34,16
2026-04-07,11:18:53,20260407_111853,18,98,34,16
2026-04-07,11:18:58,20260407_111858,18,98,34,10
2026-04-07,11:19:03,20260407_111903,18,98,34,4
2026-04-07,11:19:08,20260407_111908,18,98,33,98
2026-04-07,11:19:13,20260407_111913,18,98,33,98
2026-04-07,11:19:18,20260407_111918,18,98,33,85
2026-04-07,11:19:23,20260407_111923,18,98,33,79
2026-04-07,11:19:28,20260407_111928,18,98,33,85
2026-04-07,11:19:33,20260407_111933,18,98,33,85
2026-04-07,11:19:38,20260407_111938,18,98,33,73
2026-04-07,11:19:43,20260407_111943,19,4,33,85
2026-04-07,11:19:48,20260407_111948,19,4,33,85
2026-04-07,11:19:53,20260407_111953,18,98,33,73
2026-04-07,11:19:58,20260407_111958,18,98,33,60
2026-04-07,11:20:03,20260407_112003,19,4,33,60
2026-04-07,11:20:08,20260407_112008,18,98,33,41
2026-04-07,11:20:13,20260407_112013,18,98,33,48
2026-04-07,11:20:18,20260407_112018,19,4,33,66
2026-04-07,11:20:23,20260407_112023,18,98,33,73
2026-04-07,11:20:28,20260407_112028,18,98,33,73
2026-04-07,11:20:33,20260407_112033,18,98,33,85
2026-04-07,11:20:38,20260407_112038,18,98,33,91
2026-04-07,11:20:43,20260407_112043,18,98,33,91
2026-04-07,11:20:48,20260407_112048,18,98,34,4
2026-04-07,11:20:53,20260407_112053,18,98,33,98
2026-04-07,11:20:58,20260407_112058,18,98,33,98
2026-04-07,11:21:03,20260407_112103,18,98,34,16
