epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9087,1.86654,5.23073,1.62218,0.04942,0.05882,0.0136,0.00549,1.37978,4.15257,1.38866,0.00032,0.00032,0.00032
2,102.369,1.33349,2.78161,1.25616,0.2736,0.48235,0.31086,0.15907,1.33396,2.15527,1.29972,0.000653466,0.000653466,0.000653466
3,128.144,1.19192,2.14789,1.29516,0.71973,0.57647,0.65627,0.37971,1.31883,1.53656,1.37514,0.0009802,0.0009802,0.0009802
4,139.615,1.12398,1.37857,1.1607,0.77165,0.6361,0.72939,0.41441,1.34413,1.23551,1.41062,0.0013002,0.0013002,0.0013002
5,148.444,1.10031,1.25594,1.17585,0.85844,0.62353,0.73957,0.44244,1.2316,1.2613,1.40396,0.00161347,0.00161347,0.00161347
6,156.623,1.13008,1.19661,1.20721,0.72777,0.62353,0.71844,0.431,1.27298,1.30734,1.42274,0.001901,0.001901,0.001901
7,159.313,1.08564,1.12816,1.2097,0.5183,0.68358,0.62802,0.37135,1.34963,1.33582,1.59837,0.0018812,0.0018812,0.0018812
8,165.055,1.06199,1.11688,1.18725,0.93022,0.61176,0.7803,0.46876,1.32689,1.11539,1.49806,0.0018614,0.0018614,0.0018614
9,173.132,1.13006,1.05045,1.21284,0.75067,0.75294,0.78319,0.46249,1.33781,1.00164,1.41524,0.0018416,0.0018416,0.0018416
10,179.797,1.01927,0.96561,1.17256,0.85812,0.71162,0.83004,0.49061,1.33264,0.91211,1.48423,0.0018218,0.0018218,0.0018218
11,188.692,1.00986,0.93995,1.1591,0.71995,0.64706,0.68677,0.40076,1.46053,1.24758,1.59253,0.001802,0.001802,0.001802
12,191.169,1.01986,0.89172,1.1034,0.84244,0.63529,0.73247,0.45266,1.30184,1.17915,1.46974,0.0017822,0.0017822,0.0017822
13,193.636,1.00293,0.85694,1.08771,0.87232,0.64307,0.77773,0.49185,1.21163,1.11741,1.37284,0.0017624,0.0017624,0.0017624
14,203.341,1.0241,0.88127,1.13464,0.79594,0.78013,0.81408,0.47112,1.3976,0.96593,1.59261,0.0017426,0.0017426,0.0017426
15,211.018,0.94309,0.79649,1.09891,0.89349,0.8,0.87376,0.5418,1.21879,0.80149,1.35185,0.0017228,0.0017228,0.0017228
16,218.1,0.92737,0.82119,1.05804,0.79469,0.77415,0.82102,0.48469,1.35347,0.97174,1.50848,0.001703,0.001703,0.001703
17,220.707,0.97922,0.79068,1.12487,0.8477,0.78581,0.84397,0.52238,1.29006,0.84422,1.4962,0.0016832,0.0016832,0.0016832
18,231.116,1.04326,0.90797,1.1013,0.87058,0.71765,0.83508,0.53355,1.20734,0.86639,1.4199,0.0016634,0.0016634,0.0016634
19,233.581,1.0337,0.77187,1.09734,0.89762,0.78824,0.86875,0.54325,1.29136,0.7888,1.48042,0.0016436,0.0016436,0.0016436
20,237.275,0.91317,0.75706,1.04883,0.83208,0.84706,0.85704,0.5559,1.17417,0.80405,1.36803,0.0016238,0.0016238,0.0016238
21,246.247,1.00047,0.7501,1.09823,0.86993,0.78689,0.8306,0.55908,1.16358,0.83019,1.33673,0.001604,0.001604,0.001604
22,253.799,0.99187,0.77053,1.07435,0.85609,0.69991,0.81993,0.55563,1.14065,0.89127,1.32314,0.0015842,0.0015842,0.0015842
23,256.404,0.90709,0.78419,1.07191,0.88766,0.74371,0.8563,0.60409,1.05506,0.78335,1.28228,0.0015644,0.0015644,0.0015644
24,260.087,0.92549,0.71831,1.0322,0.82984,0.68853,0.81437,0.56909,1.05044,0.84674,1.27407,0.0015446,0.0015446,0.0015446
25,263.317,0.88791,0.74606,1.04581,0.8345,0.7712,0.84868,0.57875,1.08564,0.7713,1.27772,0.0015248,0.0015248,0.0015248
26,269.975,0.93072,0.72476,1.0491,0.94756,0.74118,0.86565,0.56227,1.07944,0.76451,1.26572,0.001505,0.001505,0.001505
27,272.76,0.8969,0.72175,1.02668,0.82636,0.78824,0.8461,0.51932,1.21786,0.83796,1.38033,0.0014852,0.0014852,0.0014852
28,275.133,0.89034,0.69651,1.02205,0.89465,0.77647,0.87904,0.57996,1.18994,0.80093,1.353,0.0014654,0.0014654,0.0014654
29,277.945,0.83576,0.64669,1.03426,0.87057,0.81176,0.88829,0.61322,1.05071,0.75397,1.27921,0.0014456,0.0014456,0.0014456
30,287.823,0.83333,0.6957,1.05387,0.81003,0.85283,0.89003,0.61503,1.0506,0.72051,1.28415,0.0014258,0.0014258,0.0014258
31,291.25,0.84868,0.60745,1.00349,0.85364,0.82338,0.90206,0.61813,1.01527,0.69687,1.27214,0.001406,0.001406,0.001406
