epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.9901,1.77383,4.48626,1.60591,0.24101,0.14141,0.08662,0.03284,1.47872,3.89971,1.57916,0.0004,0.0004,0.0004
2,127.331,1.34016,2.86747,1.46962,0.61277,0.35354,0.43341,0.24327,1.30429,2.03753,1.48112,0.000811882,0.000811882,0.000811882
3,137.325,1.22811,1.79088,1.34003,0.67233,0.57576,0.63943,0.35007,1.30573,1.6227,1.51592,0.00121545,0.00121545,0.00121545
4,146.97,1.12031,1.37243,1.25481,0.54351,0.65657,0.61514,0.33253,1.58023,1.59509,1.80143,0.0016107,0.0016107,0.0016107
5,156.208,1.19644,1.41241,1.36301,0.49435,0.48485,0.46386,0.24319,1.55399,1.83385,1.74019,0.0019208,0.0019208,0.0019208
6,165.35,1.14598,1.29954,1.36049,0.77046,0.68687,0.7512,0.44791,1.36187,1.17964,1.58879,0.001901,0.001901,0.001901
7,174.158,1.20845,1.20337,1.38413,0.58428,0.62626,0.64624,0.36751,1.40344,1.4158,1.65821,0.0018812,0.0018812,0.0018812
8,181.694,1.08342,1.0959,1.26601,0.71606,0.66235,0.75084,0.44183,1.48715,1.12226,1.77208,0.0018614,0.0018614,0.0018614
9,185.781,1.11124,1.11127,1.2861,0.79199,0.61535,0.75101,0.43732,1.41803,1.21104,1.68881,0.0018416,0.0018416,0.0018416
10,196.363,1.09189,1.04514,1.28694,0.82702,0.64646,0.76536,0.44778,1.37316,1.27796,1.60776,0.0018218,0.0018218,0.0018218
11,205.973,1.12934,1.0399,1.28847,0.70931,0.73945,0.7502,0.47516,1.35221,1.14727,1.61979,0.001802,0.001802,0.001802
12,209.968,1.06842,0.98649,1.32988,0.84646,0.72396,0.82437,0.53172,1.19923,1.00213,1.45734,0.0017822,0.0017822,0.0017822
13,214.091,1.0232,0.93098,1.19369,0.65607,0.77075,0.76337,0.47143,1.36577,1.12974,1.55743,0.0017624,0.0017624,0.0017624
14,217.019,0.9824,0.98717,1.20123,0.72851,0.66667,0.73202,0.4765,1.1865,1.07355,1.47511,0.0017426,0.0017426,0.0017426
15,226.439,1.02965,1.02021,1.21474,0.81856,0.82828,0.84041,0.52152,1.0934,0.91451,1.43191,0.0017228,0.0017228,0.0017228
16,229.431,0.96393,0.98107,1.17761,0.83396,0.79798,0.86305,0.53786,1.08691,0.91,1.44121,0.001703,0.001703,0.001703
17,233.344,0.91606,0.86035,1.10881,0.81054,0.77784,0.85496,0.52808,1.12879,0.90816,1.4648,0.0016832,0.0016832,0.0016832
18,241.949,1.01855,1.01847,1.28594,0.86353,0.83093,0.87689,0.53921,1.12825,0.9209,1.49586,0.0016634,0.0016634,0.0016634
19,245.209,0.95291,0.88182,1.16457,0.89298,0.84286,0.88024,0.5426,1.12087,0.86769,1.37896,0.0016436,0.0016436,0.0016436
20,252.651,0.91238,0.7925,1.13804,0.85679,0.85859,0.88332,0.54959,1.10959,0.80522,1.343,0.0016238,0.0016238,0.0016238
21,255.872,0.90449,0.8183,1.18814,0.82961,0.83611,0.84791,0.55414,1.11479,0.88451,1.42526,0.001604,0.001604,0.001604
22,264.554,0.84938,0.76351,1.12744,0.86539,0.77929,0.83398,0.53676,1.18299,0.87201,1.44073,0.0015842,0.0015842,0.0015842
23,267.956,0.86852,0.8417,1.10084,0.8317,0.84848,0.83366,0.50538,1.20302,0.92175,1.48801,0.0015644,0.0015644,0.0015644
24,271.295,0.84164,0.73087,1.11779,0.80682,0.85859,0.857,0.52982,1.1335,0.77396,1.4307,0.0015446,0.0015446,0.0015446
25,279.564,0.85534,0.83385,1.13031,0.87328,0.83533,0.88689,0.56663,0.95965,0.77042,1.28035,0.0015248,0.0015248,0.0015248
26,285.91,0.92451,0.71694,1.13111,0.90054,0.83838,0.89121,0.58482,0.99704,0.80169,1.27288,0.001505,0.001505,0.001505
27,292.482,0.87133,0.74834,1.09678,0.85292,0.8201,0.82421,0.55262,1.07079,0.88108,1.38256,0.0014852,0.0014852,0.0014852
28,300.854,0.80306,0.69939,1.09173,0.88491,0.85435,0.88247,0.57323,1.09964,0.83988,1.45808,0.0014654,0.0014654,0.0014654
29,303.603,0.86988,0.71363,1.13936,0.92324,0.76768,0.88938,0.58079,1.10684,0.79718,1.43307,0.0014456,0.0014456,0.0014456
30,311.711,0.85307,0.73597,1.09091,0.87831,0.8749,0.89939,0.56582,1.0543,0.75611,1.3623,0.0014258,0.0014258,0.0014258
31,320.116,0.85565,0.69278,1.13659,0.91175,0.81818,0.90538,0.61569,0.98127,0.71891,1.3102,0.001406,0.001406,0.001406
32,323.351,0.84135,0.72051,1.12461,0.94411,0.86869,0.91593,0.62223,1.04916,0.69506,1.34689,0.0013862,0.0013862,0.0013862
33,326.926,0.85395,0.76417,1.14809,0.95723,0.82828,0.91313,0.58125,1.10979,0.6949,1.37503,0.0013664,0.0013664,0.0013664
34,330.782,0.78282,0.6733,1.07519,0.94431,0.85639,0.90725,0.61918,0.98393,0.66916,1.32973,0.0013466,0.0013466,0.0013466
35,334.636,0.8418,0.6714,1.09272,0.89471,0.85835,0.9049,0.61631,1.03327,0.71922,1.3483,0.0013268,0.0013268,0.0013268
36,337.88,0.78056,0.66488,1.09573,0.92348,0.87879,0.92605,0.59764,1.09583,0.70332,1.3458,0.001307,0.001307,0.001307
37,341.072,0.80026,0.72647,1.09281,0.89449,0.85859,0.9218,0.59897,1.11526,0.6887,1.40142,0.0012872,0.0012872,0.0012872
38,344.997,0.80827,0.66056,1.07091,0.9301,0.80642,0.90809,0.61798,0.99203,0.72042,1.34138,0.0012674,0.0012674,0.0012674
39,348.82,0.76517,0.64606,1.07117,0.93406,0.78788,0.87168,0.57508,1.04554,0.78667,1.36071,0.0012476,0.0012476,0.0012476
40,352.296,0.73601,0.63589,1.08167,0.90667,0.82828,0.89288,0.56541,1.08312,0.78558,1.37515,0.0012278,0.0012278,0.0012278
41,355.568,0.76816,0.64219,1.08541,0.95446,0.86869,0.91964,0.59187,1.03236,0.66239,1.34738,0.001208,0.001208,0.001208
42,358.463,0.75478,0.62986,1.10596,0.94141,0.86869,0.91905,0.62518,1.00313,0.61834,1.33583,0.0011882,0.0011882,0.0011882
43,362.466,0.73305,0.61561,1.04055,0.97689,0.85413,0.92463,0.6193,1.00967,0.6041,1.36484,0.0011684,0.0011684,0.0011684
44,366.106,0.68044,0.53629,1.01902,0.9251,0.87879,0.90677,0.62597,1.00295,0.61882,1.38492,0.0011486,0.0011486,0.0011486
45,369.694,0.71487,0.56981,1.04619,0.88541,0.85857,0.88444,0.60484,1.04627,0.7219,1.37223,0.0011288,0.0011288,0.0011288
46,372.904,0.7153,0.56039,1.03544,0.95109,0.84848,0.91083,0.6354,0.93823,0.61583,1.29951,0.001109,0.001109,0.001109
47,376.077,0.69808,0.56836,1.03802,0.9304,0.82828,0.88955,0.6111,1.00365,0.66489,1.34018,0.0010892,0.0010892,0.0010892
48,378.99,0.68316,0.59105,1.02553,0.94573,0.80808,0.89629,0.63441,0.95003,0.61496,1.31125,0.0010694,0.0010694,0.0010694
49,382.748,0.71513,0.60079,1.0715,0.97322,0.82828,0.9244,0.64775,0.99273,0.63324,1.35016,0.0010496,0.0010496,0.0010496
50,386.576,0.72726,0.61382,1.10389,0.96204,0.84848,0.92184,0.6342,0.9929,0.6445,1.32733,0.0010298,0.0010298,0.0010298
51,389.556,0.74056,0.58175,1.03979,0.95425,0.86869,0.91081,0.62883,0.95157,0.6155,1.27813,0.00101,0.00101,0.00101
52,393.743,0.71098,0.56788,1.02168,0.93212,0.86869,0.93415,0.63528,0.97365,0.66843,1.24526,0.0009902,0.0009902,0.0009902
53,396.674,0.68637,0.54537,1.02294,0.92714,0.84848,0.92063,0.62513,0.98171,0.70346,1.26905,0.0009704,0.0009704,0.0009704
54,399.88,0.68372,0.57193,1.01557,0.90459,0.86193,0.87714,0.61822,0.9595,0.68758,1.28164,0.0009506,0.0009506,0.0009506
55,403.785,0.74411,0.61923,1.06243,0.88638,0.8668,0.89368,0.65131,0.89129,0.62762,1.23893,0.0009308,0.0009308,0.0009308
56,407.934,0.70373,0.56258,1.02869,0.91055,0.84848,0.89203,0.64016,0.9107,0.63457,1.23646,0.000911,0.000911,0.000911
57,411.796,0.68925,0.56279,1.06666,0.88884,0.83838,0.88617,0.6181,0.97506,0.64589,1.26531,0.0008912,0.0008912,0.0008912
58,415.655,0.69425,0.57312,1.02224,0.91587,0.81818,0.87305,0.62196,0.97641,0.64631,1.28377,0.0008714,0.0008714,0.0008714
59,418.904,0.62782,0.49447,0.95347,0.87531,0.85859,0.87806,0.60976,1.02039,0.69835,1.34593,0.0008516,0.0008516,0.0008516
