epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,518.162,1.89688,1.8882,1.31969,0.36376,0.21629,0.19486,0.09594,1.77134,1.42434,1.18829,0.00998358,0.00332786,0.00998358,0.00332786,0.00998358,0.00332786,0.00998358,0.00332786
2,1011.47,1.84294,1.46045,1.26248,0.24786,0.16928,0.15972,0.07608,1.89436,1.60283,1.27069,0.0198847,0.00662822,0.0198847,0.00662822,0.0198847,0.00662822,0.0198847,0.00662822
3,1492.75,1.91442,1.52428,1.29853,0.37561,0.17615,0.17485,0.07796,1.91125,1.66813,1.28282,0.0296867,0.00989558,0.0296867,0.00989558,0.0296867,0.00989558,0.0296867,0.00989558
4,1969.94,1.89149,1.49562,1.29604,0.22838,0.15705,0.1301,0.05986,1.96034,1.85346,1.30891,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2446.82,1.82872,1.4002,1.26735,0.29074,0.24366,0.20184,0.07633,2.26548,1.49231,1.41797,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2923.67,1.77013,1.32835,1.23941,0.51726,0.25022,0.26684,0.1295,1.70522,1.28143,1.17709,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,3400.58,1.73494,1.27809,1.2207,0.4165,0.26188,0.26425,0.12966,1.67493,1.22531,1.1662,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3876.91,1.70237,1.23892,1.20782,0.41283,0.30497,0.29979,0.15264,1.62264,1.15669,1.12991,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,4353.09,1.68036,1.20894,1.1927,0.48904,0.31843,0.33124,0.16763,1.59876,1.10958,1.12967,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4830.78,1.66248,1.18697,1.1816,0.43997,0.24981,0.27273,0.13194,1.70068,1.23096,1.16204,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
