epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,520.321,1.57221,1.40049,1.12905,0.56435,0.38693,0.40901,0.21938,1.41923,0.95331,1.02124,0.00998358,0.00332786,0.00998358,0.00332786,0.00998358,0.00332786,0.00998358,0.00332786
2,1011.94,1.57647,1.12681,1.11599,0.46562,0.36716,0.36366,0.18961,1.50033,1.05534,1.06897,0.0198847,0.00662822,0.0198847,0.00662822,0.0198847,0.00662822,0.0198847,0.00662822
3,1491.65,1.64784,1.1984,1.14932,0.46642,0.28558,0.28996,0.12647,1.86518,1.35033,1.20713,0.0296867,0.00989558,0.0296867,0.00989558,0.0296867,0.00989558,0.0296867,0.00989558
4,1966.57,1.63343,1.1806,1.15131,0.46916,0.37947,0.35173,0.18609,1.41025,1.048,1.04483,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2441.3,1.57037,1.1,1.12569,0.54504,0.44208,0.44581,0.23645,1.39207,0.93866,1.02604,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2916.03,1.51386,1.04167,1.10298,0.62998,0.40468,0.44708,0.24969,1.30769,0.90642,1.00076,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,3391.08,1.48013,1.00187,1.08768,0.60685,0.46054,0.48253,0.2649,1.35759,0.8553,1.00216,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3865.67,1.45173,0.97426,1.07872,0.62614,0.43119,0.47452,0.26662,1.27626,0.84728,0.98789,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,4340.54,1.4309,0.94917,1.06999,0.61583,0.48469,0.50797,0.28646,1.25851,0.81541,0.97862,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4815.49,1.41423,0.93412,1.05874,0.64976,0.45091,0.49579,0.28204,1.2533,0.82876,0.9796,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,5290.03,1.39632,0.91585,1.0543,0.65173,0.46092,0.49746,0.28412,1.23455,0.80481,0.9726,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,5764.62,1.3812,0.90254,1.04929,0.64527,0.49062,0.52436,0.29816,1.2377,0.78659,0.97178,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,6239.34,1.37242,0.88766,1.0415,0.63977,0.50576,0.54462,0.31493,1.21198,0.77543,0.96361,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,6714.09,1.35559,0.87638,1.03628,0.67453,0.48499,0.51763,0.30235,1.21829,0.7925,0.96295,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,7188.48,1.35324,0.86886,1.03409,0.67376,0.46568,0.5111,0.29325,1.22707,0.78408,0.96954,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,7663.3,1.34199,0.85532,1.03038,0.67895,0.49728,0.55113,0.32214,1.20337,0.75197,0.95882,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,8138.04,1.33033,0.84947,1.02551,0.69984,0.46988,0.54772,0.31725,1.18357,0.76194,0.95013,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,8612.66,1.32697,0.84215,1.0235,0.64527,0.51303,0.55854,0.32405,1.19471,0.75444,0.95273,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,9087.07,1.3215,0.83661,1.02026,0.64917,0.50835,0.55496,0.31969,1.17068,0.72826,0.94682,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,9561.76,1.31282,0.82958,1.01735,0.71137,0.48145,0.55054,0.32841,1.1641,0.73828,0.94664,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,10036.2,1.31156,0.8276,1.01747,0.65791,0.51223,0.54835,0.32618,1.15688,0.7268,0.94512,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,10510.9,1.30243,0.81689,1.01282,0.69453,0.50445,0.57669,0.33721,1.16975,0.72301,0.94777,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,10985.3,1.29309,0.81124,1.01111,0.66974,0.53547,0.56969,0.33601,1.15312,0.72165,0.94228,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,11459.7,1.28773,0.80777,1.01106,0.64927,0.52115,0.56734,0.33498,1.14576,0.7199,0.9361,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,11934.3,1.28523,0.80113,1.00608,0.70792,0.51258,0.58606,0.34209,1.14544,0.71672,0.93872,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,12408.9,1.27592,0.7931,1.00458,0.71265,0.52802,0.58775,0.3529,1.13547,0.70754,0.93529,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,12883.6,1.26999,0.78559,1.00021,0.73745,0.51333,0.58795,0.35216,1.13916,0.69761,0.93695,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,13358.2,1.27486,0.78933,1.00194,0.66959,0.52186,0.57996,0.33919,1.13959,0.7029,0.93711,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,13832.2,1.26404,0.78489,1.0013,0.69899,0.52726,0.59192,0.34909,1.14032,0.69474,0.93966,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,14306.9,1.26186,0.77678,0.9984,0.68636,0.54321,0.61225,0.36486,1.13023,0.69102,0.93532,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,14781.7,1.2568,0.77272,0.99411,0.72432,0.52076,0.60367,0.3626,1.12341,0.69097,0.93451,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,15256.5,1.26128,0.77432,0.99532,0.72401,0.55525,0.61227,0.36277,1.12067,0.68583,0.93143,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,15731.3,1.25511,0.77008,0.99374,0.64879,0.56363,0.60188,0.36123,1.11856,0.68308,0.92853,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,16205.9,1.24628,0.76662,0.99211,0.66878,0.5363,0.60039,0.36077,1.11755,0.68339,0.92857,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,16680.1,1.2472,0.76492,0.98941,0.7052,0.54801,0.59389,0.35686,1.12216,0.68751,0.93145,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
